experiment_id,condition_family,comparison,dataset,language,n,b,t,width,position_label,donor_type,decoding_protocol,temperature,top_p,do_sample,max_new_tokens,clean_acc,condition_acc,accuracy_delta,answer_changed_count,answer_changed_rate,stable_correct,broken,repaired,stable_wrong,stable_wrong_same,stable_wrong_different,stable_wrong_different_rate,repair_break_ratio,net_repair_minus_break,parse_fail_clean,parse_fail_condition,transition_entropy,transition_profile_label,alignment_method,needs_gold,needs_manual_check,final_parser_recomputed,parser_lineage,paper_use_status,priority,notes
phaseA_fixed_b8_w2,width_sweep,no_swap_vs_fixed_b8_w2,mgsm,zh,250,8,10,2,,base_model_layers,greedy_raw_prompt,0.0,,false,512,0.524,0.54,0.016,91,0.364,115,16,20,99,44,55,0.5555555555555556,1.25,4,0,0,1.5898793920851602,needs_manual_review,sample_id,false,false,true,round4_final_signed_parser,acl_candidate_main,P0,Recomputed from existing JSONL using output_text only; cached parser/correct fields ignored. Use output_text only; cached parser/correct fields are ignored.
phaseA_fixed_b8_w4,width_sweep,no_swap_vs_fixed_b8_w4,mgsm,zh,250,8,12,4,,base_model_layers,greedy_raw_prompt,0.0,,false,512,0.524,0.492,-0.032,118,0.472,102,29,21,98,30,68,0.6938775510204082,0.7241379310344828,-8,0,0,1.7179880272963413,break_heavy,sample_id,false,false,true,round4_final_signed_parser,acl_candidate_main,P0,Recomputed from existing JSONL using output_text only; cached parser/correct fields ignored. Use output_text only; cached parser/correct fields are ignored.
phaseA_fixed_b8_w6,width_sweep,no_swap_vs_fixed_b8_w6,mgsm,zh,250,8,14,6,,base_model_layers,greedy_raw_prompt,0.0,,false,512,0.524,0.504,-0.02,116,0.464,102,29,24,95,32,63,0.6631578947368421,0.8275862068965517,-5,0,0,1.7432074184679272,break_heavy,sample_id,false,false,true,round4_final_signed_parser,acl_candidate_main,P0,Recomputed from existing JSONL using output_text only; cached parser/correct fields ignored. Use output_text only; cached parser/correct fields are ignored.
phaseA_fixed_b8_w8,width_sweep,no_swap_vs_fixed_b8_w8,mgsm,zh,250,8,16,8,,base_model_layers,greedy_raw_prompt,0.0,,false,512,0.524,0.516,-0.008,124,0.496,101,30,28,91,25,66,0.7252747252747253,0.9333333333333333,-2,0,0,1.7797789738545626,high_churn_low_net_change,sample_id,false,false,true,round4_final_signed_parser,acl_candidate_main,P0,Recomputed from existing JSONL using output_text only; cached parser/correct fields ignored. Use output_text only; cached parser/correct fields are ignored.
phaseA_fixed_b8_w12_budget512,width_sweep,no_swap_vs_fixed_b8_w12,mgsm,zh,250,8,20,12,,base_model_layers,greedy_raw_prompt,0.0,,false,512,0.524,0.524,0.0,135,0.54,99,32,32,87,16,71,0.8160919540229885,1.0,0,0,0,1.8184147265552042,high_churn_low_net_change,sample_id,false,false,true,round4_final_signed_parser,acl_candidate_main,P0,Recomputed from existing JSONL using output_text only; cached parser/correct fields ignored.
phaseA_fixed_w4_pos1,position_sweep,no_swap_vs_fixed_w4_pos1,mgsm,zh,250,4,8,4,pos1,base_model_layers,greedy_raw_prompt,0.0,,false,512,0.524,0.556,0.032,128,0.512,108,23,31,88,14,74,0.8409090909090909,1.3478260869565217,8,0,0,1.7434649115219223,repair_heavy,sample_id,false,false,true,round4_final_signed_parser,acl_candidate_main,P0,Recomputed from existing JSONL using output_text only; cached parser/correct fields ignored. Use output_text only; cached parser/correct fields are ignored.
phaseA_fixed_w4_pos2,position_sweep,no_swap_vs_fixed_w4_pos2,mgsm,zh,250,8,12,4,pos2,base_model_layers,greedy_raw_prompt,0.0,,false,512,0.524,0.492,-0.032,118,0.472,102,29,21,98,30,68,0.6938775510204082,0.7241379310344828,-8,0,0,1.7179880272963413,break_heavy,sample_id,false,false,true,round4_final_signed_parser,acl_candidate_main,P0,Recomputed from existing JSONL using output_text only; cached parser/correct fields ignored. Use output_text only; cached parser/correct fields are ignored.
phaseA_fixed_w4_pos3,position_sweep,no_swap_vs_fixed_w4_pos3,mgsm,zh,250,12,16,4,pos3,base_model_layers,greedy_raw_prompt,0.0,,false,512,0.524,0.536,0.012,111,0.444,107,24,27,92,32,60,0.6521739130434783,1.125,3,0,0,1.72608136435053,high_churn_low_net_change,sample_id,false,false,true,round4_final_signed_parser,acl_candidate_main,P0,Recomputed from existing JSONL using output_text only; cached parser/correct fields ignored. Use output_text only; cached parser/correct fields are ignored.
phaseA_fixed_w4_pos4,position_sweep,no_swap_vs_fixed_w4_pos4,mgsm,zh,250,16,20,4,pos4,base_model_layers,greedy_raw_prompt,0.0,,false,512,0.524,0.524,0.0,129,0.516,102,29,29,90,19,71,0.7888888888888889,1.0,0,0,0,1.7793160395894372,high_churn_low_net_change,sample_id,false,false,true,round4_final_signed_parser,acl_candidate_main,P0,Recomputed from existing JSONL using output_text only; cached parser/correct fields ignored. Use output_text only; cached parser/correct fields are ignored.
