"experiment_id","condition_family","comparison","dataset","language","n","b","t","width","position_label","donor_type","decoding_protocol","temperature","top_p","do_sample","max_new_tokens","clean_acc","condition_acc","accuracy_delta","answer_changed_count","answer_changed_rate","stable_correct","broken","repaired","stable_wrong","stable_wrong_same","stable_wrong_different","stable_wrong_different_rate","repair_break_ratio","net_repair_minus_break","parse_fail_clean","parse_fail_condition","transition_entropy","transition_profile_label","alignment_method","needs_gold","needs_manual_check","final_parser_recomputed","parser_lineage","paper_use_status","priority","notes","accuracy_delta_ci_low","accuracy_delta_ci_high","answer_changed_rate_ci_low","answer_changed_rate_ci_high","stable_wrong_different_rate_ci_low","stable_wrong_different_rate_ci_high","bootstrap_n","bootstrap_seed"
"main_zh_direct_swap","canonical_direct_swap","clean_vs_direct_swap","mgsm","zh","250","8","20","12","","base_model_layers","greedy_raw_prompt","0.0","","false","256","0.5","0.468","-0.032","151","0.604","86","39","31","94","13","81","0.8617021276595744","0.7948717948717948","-8","0","0","1.8517807121832903","break_heavy","sample_id","false","false","true","round4_final_signed_parser","current_course_paper_main","P0","Recomputed from existing JSONL using output_text only; cached parser/correct fields ignored. Canonical release-bundle pair.","-0.096","0.032","0.54","0.664","0.7872340425531915","0.9285714285714286","10000","20260517"
"phaseA_fixed_b8_w2","width_sweep","no_swap_vs_fixed_b8_w2","mgsm","zh","250","8","10","2","","base_model_layers","greedy_raw_prompt","0.0","","false","512","0.524","0.54","0.016","91","0.364","115","16","20","99","44","55","0.5555555555555556","1.25","4","0","0","1.5898793920851602","needs_manual_review","sample_id","false","false","true","round4_final_signed_parser","acl_candidate_main","P0","Recomputed from existing JSONL using output_text only; cached parser/correct fields ignored. Use output_text only; cached parser/correct fields are ignored.","-0.032","0.06","0.304","0.424","0.4563106796116505","0.652542372881356","10000","20260517"
"phaseA_fixed_b8_w4","width_sweep","no_swap_vs_fixed_b8_w4","mgsm","zh","250","8","12","4","","base_model_layers","greedy_raw_prompt","0.0","","false","512","0.524","0.492","-0.032","118","0.472","102","29","21","98","30","68","0.6938775510204082","0.7241379310344828","-8","0","0","1.7179880272963413","break_heavy","sample_id","false","false","true","round4_final_signed_parser","acl_candidate_main","P0","Recomputed from existing JSONL using output_text only; cached parser/correct fields ignored. Use output_text only; cached parser/correct fields are ignored.","-0.088","0.024","0.408","0.536","0.6","0.78125","10000","20260517"
"phaseA_fixed_b8_w6","width_sweep","no_swap_vs_fixed_b8_w6","mgsm","zh","250","8","14","6","","base_model_layers","greedy_raw_prompt","0.0","","false","512","0.524","0.504","-0.02","116","0.464","102","29","24","95","32","63","0.6631578947368421","0.8275862068965517","-5","0","0","1.7432074184679272","break_heavy","sample_id","false","false","true","round4_final_signed_parser","acl_candidate_main","P0","Recomputed from existing JSONL using output_text only; cached parser/correct fields ignored. Use output_text only; cached parser/correct fields are ignored.","-0.076","0.036","0.4","0.524","0.5681818181818182","0.7570093457943925","10000","20260517"
"phaseA_fixed_b8_w8","width_sweep","no_swap_vs_fixed_b8_w8","mgsm","zh","250","8","16","8","","base_model_layers","greedy_raw_prompt","0.0","","false","512","0.524","0.516","-0.008","124","0.496","101","30","28","91","25","66","0.7252747252747253","0.9333333333333333","-2","0","0","1.7797789738545626","high_churn_low_net_change","sample_id","false","false","true","round4_final_signed_parser","acl_candidate_main","P0","Recomputed from existing JSONL using output_text only; cached parser/correct fields ignored. Use output_text only; cached parser/correct fields are ignored.","-0.068","0.052","0.432","0.556","0.6333333333333333","0.8152173913043478","10000","20260517"
"phaseA_fixed_w4_pos1","position_sweep","no_swap_vs_fixed_w4_pos1","mgsm","zh","250","4","8","4","pos1","base_model_layers","greedy_raw_prompt","0.0","","false","512","0.524","0.556","0.032","128","0.512","108","23","31","88","14","74","0.8409090909090909","1.3478260869565217","8","0","0","1.7434649115219223","repair_heavy","sample_id","false","false","true","round4_final_signed_parser","acl_candidate_main","P0","Recomputed from existing JSONL using output_text only; cached parser/correct fields ignored. Use output_text only; cached parser/correct fields are ignored.","-0.024","0.092","0.448","0.572","0.7604166666666666","0.9135802469135802","10000","20260517"
"phaseA_fixed_w4_pos2","position_sweep","no_swap_vs_fixed_w4_pos2","mgsm","zh","250","8","12","4","pos2","base_model_layers","greedy_raw_prompt","0.0","","false","512","0.524","0.492","-0.032","118","0.472","102","29","21","98","30","68","0.6938775510204082","0.7241379310344828","-8","0","0","1.7179880272963413","break_heavy","sample_id","false","false","true","round4_final_signed_parser","acl_candidate_main","P0","Recomputed from existing JSONL using output_text only; cached parser/correct fields ignored. Use output_text only; cached parser/correct fields are ignored.","-0.088","0.024","0.408","0.536","0.6","0.78125","10000","20260517"
"phaseA_fixed_w4_pos3","position_sweep","no_swap_vs_fixed_w4_pos3","mgsm","zh","250","12","16","4","pos3","base_model_layers","greedy_raw_prompt","0.0","","false","512","0.524","0.536","0.012","111","0.444","107","24","27","92","32","60","0.6521739130434783","1.125","3","0","0","1.72608136435053","high_churn_low_net_change","sample_id","false","false","true","round4_final_signed_parser","acl_candidate_main","P0","Recomputed from existing JSONL using output_text only; cached parser/correct fields ignored. Use output_text only; cached parser/correct fields are ignored.","-0.044","0.068","0.384","0.504","0.5514018691588785","0.75","10000","20260517"
"phaseA_fixed_w4_pos4","position_sweep","no_swap_vs_fixed_w4_pos4","mgsm","zh","250","16","20","4","pos4","base_model_layers","greedy_raw_prompt","0.0","","false","512","0.524","0.524","0.0","129","0.516","102","29","29","90","19","71","0.7888888888888889","1.0","0","0","0","1.7793160395894372","high_churn_low_net_change","sample_id","false","false","true","round4_final_signed_parser","acl_candidate_main","P0","Recomputed from existing JSONL using output_text only; cached parser/correct fields ignored. Use output_text only; cached parser/correct fields are ignored.","-0.06","0.06","0.452","0.576","0.7","0.8709677419354839","10000","20260517"
"phaseA_fixed_b8_w12_budget512","width_sweep","no_swap_vs_fixed_b8_w12","mgsm","zh","250","8","20","12","","base_model_layers","greedy_raw_prompt","0.0","","false","512","0.524","0.524","0.0","135","0.54","99","32","32","87","16","71","0.8160919540229885","1.0","0","0","0","1.8184147265552042","high_churn_low_net_change","sample_id","false","false","true","round4_final_signed_parser","acl_candidate_main","P0","Recomputed from existing JSONL using output_text only; cached parser/correct fields ignored.","-0.064","0.06","0.476","0.6","0.7323943661971831","0.8941176470588236","10000","20260517"
"phaseA_random_fixed_b8_w2","random_donor","no_swap_vs_random_fixed_b8_w2","mgsm","zh","250","8","10","2","","random_donor","greedy_raw_prompt","0.0","","false","512","0.524","0.008","-0.516","248","0.992","1","130","1","118","1","117","0.9915254237288136","0.007692307692307693","-129","0","58","1.0655455025885017","generic_corruption_like","sample_id","false","false","true","round4_final_signed_parser","acl_candidate_appendix","P1","Recomputed from existing JSONL using output_text only; cached parser/correct fields ignored. Use output_text only; cached parser/correct fields are ignored.","-0.58","-0.452","0.98","1.0","0.9724770642201835","1.0","10000","20260517"
"phaseA_random_fixed_b8_w4","random_donor","no_swap_vs_random_fixed_b8_w4","mgsm","zh","250","8","12","4","","random_donor","greedy_raw_prompt","0.0","","false","512","0.524","0.16","-0.364","209","0.836","33","98","7","112","8","104","0.9285714285714286","0.07142857142857142","-91","0","0","1.5786570591141902","generic_corruption_like","sample_id","false","false","true","round4_final_signed_parser","acl_candidate_appendix","P1","Recomputed from existing JSONL using output_text only; cached parser/correct fields ignored. Use output_text only; cached parser/correct fields are ignored.","-0.428","-0.3","0.792","0.88","0.8785046728971962","0.9732142857142857","10000","20260517"
"phaseA_random_fixed_b8_w6","random_donor","no_swap_vs_random_fixed_b8_w6","mgsm","zh","250","8","14","6","","random_donor","greedy_raw_prompt","0.0","","false","512","0.524","0.008","-0.516","247","0.988","2","129","0","119","1","118","0.9915966386554622","0.0","-129","0","32","1.0580577655291068","generic_corruption_like","sample_id","false","false","true","round4_final_signed_parser","acl_candidate_appendix","P1","Recomputed from existing JSONL using output_text only; cached parser/correct fields ignored. Use output_text only; cached parser/correct fields are ignored.","-0.58","-0.452","0.972","1.0","0.972972972972973","1.0","10000","20260517"
"phaseA_random_fixed_b8_w8","random_donor","no_swap_vs_random_fixed_b8_w8","mgsm","zh","250","8","16","8","","random_donor","greedy_raw_prompt","0.0","","false","512","0.524","0.024","-0.5","244","0.976","5","126","1","118","1","117","0.9915254237288136","0.007936507936507936","-125","0","0","1.154189122021593","generic_corruption_like","sample_id","false","false","true","round4_final_signed_parser","acl_candidate_appendix","P1","Recomputed from existing JSONL using output_text only; cached parser/correct fields ignored. Use output_text only; cached parser/correct fields are ignored.","-0.564","-0.436","0.956","0.992","0.9724770642201835","1.0","10000","20260517"
"phaseA_random_fixed_w4_pos1","random_donor","no_swap_vs_random_fixed_w4_pos1","mgsm","zh","250","4","8","4","pos1","random_donor","greedy_raw_prompt","0.0","","false","512","0.524","0.02","-0.504","245","0.98","3","128","2","117","2","115","0.9829059829059829","0.015625","-126","0","23","1.1394340458883998","generic_corruption_like","sample_id","false","false","true","round4_final_signed_parser","acl_candidate_appendix","P1","Recomputed from existing JSONL using output_text only; cached parser/correct fields ignored. Use output_text only; cached parser/correct fields are ignored.","-0.568","-0.44","0.96","0.996","0.956140350877193","1.0","10000","20260517"
"phaseA_random_fixed_w4_pos2","random_donor","no_swap_vs_random_fixed_w4_pos2","mgsm","zh","250","8","12","4","pos2","random_donor","greedy_raw_prompt","0.0","","false","512","0.524","0.16","-0.364","209","0.836","33","98","7","112","8","104","0.9285714285714286","0.07142857142857142","-91","0","0","1.5786570591141902","generic_corruption_like","sample_id","false","false","true","round4_final_signed_parser","acl_candidate_appendix","P1","Recomputed from existing JSONL using output_text only; cached parser/correct fields ignored. Use output_text only; cached parser/correct fields are ignored.","-0.428","-0.3","0.792","0.88","0.8785046728971962","0.9732142857142857","10000","20260517"
"phaseA_random_fixed_w4_pos3","random_donor","no_swap_vs_random_fixed_w4_pos3","mgsm","zh","250","12","16","4","pos3","random_donor","greedy_raw_prompt","0.0","","false","512","0.524","0.008","-0.516","247","0.988","2","129","0","119","1","118","0.9915966386554622","0.0","-129","0","3","1.0580577655291068","generic_corruption_like","sample_id","false","false","true","round4_final_signed_parser","acl_candidate_appendix","P1","Recomputed from existing JSONL using output_text only; cached parser/correct fields ignored. Use output_text only; cached parser/correct fields are ignored.","-0.58","-0.452","0.972","1.0","0.9732142857142857","1.0","10000","20260517"
"phaseA_random_fixed_w4_pos4","random_donor","no_swap_vs_random_fixed_w4_pos4","mgsm","zh","250","16","20","4","pos4","random_donor","greedy_raw_prompt","0.0","","false","512","0.524","0.024","-0.5","244","0.976","3","128","3","116","3","113","0.9741379310344828","0.0234375","-125","0","0","1.1616420029055858","generic_corruption_like","sample_id","false","false","true","round4_final_signed_parser","acl_candidate_appendix","P1","Recomputed from existing JSONL using output_text only; cached parser/correct fields ignored. Use output_text only; cached parser/correct fields are ignored.","-0.564","-0.436","0.956","0.992","0.940677966101695","1.0","10000","20260517"
