sample_id,gold_answer,clean_answer,identity_answer,hard_answer,clean_correct,identity_correct,hard_correct,identity_eq_clean,identity_eq_hard,hard_eq_clean,clean_output_mode,identity_output_mode,hard_output_mode
mgsm_0000,18,18,18,18,True,True,True,True,True,True,Chinese-like,Chinese-like,English-like
mgsm_0001,3,3,3,6,True,True,False,True,False,False,English-like,English-like,English-like
mgsm_0002,70000,110000,110000,4,False,False,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0003,540,540,540,180,True,True,False,True,False,False,Chinese-like,Chinese-like,Chinese-like
mgsm_0004,20,0,0,3,False,False,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0005,64,208,208,70,False,False,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0006,260,260,260,260,True,True,True,True,True,True,Chinese-like,Chinese-like,English-like
mgsm_0007,160,40,40,100,False,False,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0008,45,432,432,180,False,False,False,True,False,False,English-like,English-like,English-like
mgsm_0009,460,460,460,460,True,True,True,True,True,True,Chinese-like,Chinese-like,Chinese-like
mgsm_0010,366,375,375,366,False,False,True,True,False,False,English-like,English-like,English-like
mgsm_0011,694,794,794,794,False,False,False,True,True,True,Mixed/Other,Mixed/Other,Chinese-like
mgsm_0012,13,1,1,0,False,False,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0013,18,16,16,5,False,False,False,True,False,False,Mixed/Other,Mixed/Other,English-like
mgsm_0014,60,60,60,10,True,True,False,True,False,False,English-like,English-like,English-like
mgsm_0015,125,96,96,0,False,False,False,True,False,False,Chinese-like,Chinese-like,Chinese-like
mgsm_0016,230,300,300,460,False,False,False,True,False,False,English-like,English-like,English-like
mgsm_0017,57500,57500,57500,57500,True,True,True,True,True,True,Chinese-like,Chinese-like,Chinese-like
mgsm_0018,7,7,7,7,True,True,True,True,True,True,English-like,English-like,English-like
mgsm_0019,6,6,6,1.5,True,True,False,True,False,False,Chinese-like,Chinese-like,Chinese-like
mgsm_0020,15,14.67,14.67,6.67,False,False,False,True,False,False,Chinese-like,Chinese-like,Chinese-like
mgsm_0021,14,2,2,17,False,False,False,True,False,False,English-like,English-like,English-like
mgsm_0022,7,7,7,7,True,True,True,True,True,True,English-like,English-like,English-like
mgsm_0023,8,8,8,8,True,True,True,True,True,True,English-like,English-like,English-like
mgsm_0024,26,26,26,26,True,True,True,True,True,True,Mixed/Other,Mixed/Other,Chinese-like
mgsm_0025,2,2,2,2,True,True,True,True,True,True,Mixed/Other,Mixed/Other,English-like
mgsm_0026,243,243,243,243,True,True,True,True,True,True,English-like,English-like,Mixed/Other
mgsm_0027,16,240,240,16,False,False,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0028,25,25,25,35,True,True,False,True,False,False,Chinese-like,Chinese-like,Chinese-like
mgsm_0029,104,94,94,99,False,False,False,True,False,False,English-like,English-like,English-like
mgsm_0030,109,10,10,9,False,False,False,True,False,False,Mixed/Other,Mixed/Other,English-like
mgsm_0031,80,3,3,80,False,False,True,True,False,False,English-like,English-like,English-like
mgsm_0032,35,35,35,35,True,True,True,True,True,True,Chinese-like,Chinese-like,Chinese-like
mgsm_0033,70,70,70,70,True,True,True,True,True,True,English-like,English-like,English-like
mgsm_0034,23,23,23,23,True,True,True,True,True,True,Chinese-like,Chinese-like,English-like
mgsm_0035,9,9,9,36,True,True,False,True,False,False,Mixed/Other,Mixed/Other,English-like
mgsm_0036,75,75,75,75,False,True,True,True,True,True,Mixed/Other,Mixed/Other,English-like
mgsm_0037,2,23,23,40,False,False,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0038,10,1.67,1.67,2.5,False,False,False,True,False,False,Chinese-like,Chinese-like,Chinese-like
mgsm_0039,18,18,18,72,True,True,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0040,8,12,12,3,False,False,False,True,False,False,English-like,English-like,English-like
mgsm_0041,200,0,0,1200,False,False,False,True,False,False,English-like,English-like,English-like
mgsm_0042,26,26,26,26,True,True,True,True,True,True,English-like,English-like,English-like
mgsm_0043,48,200,200,0,False,False,False,True,False,False,Chinese-like,Chinese-like,Chinese-like
mgsm_0044,20,20,20,160,True,True,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0045,104,104,104,132,True,True,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0046,163,219,219,0,False,False,False,True,False,False,English-like,English-like,English-like
mgsm_0047,800,4,4,3,False,False,False,True,False,False,Chinese-like,Chinese-like,Chinese-like
mgsm_0048,8,8,8,8,True,True,True,True,True,True,Chinese-like,Chinese-like,English-like
mgsm_0049,30,30,30,30,True,True,True,True,True,True,English-like,English-like,Chinese-like
mgsm_0050,294,252,252,294,False,False,True,True,False,False,English-like,English-like,English-like
mgsm_0051,5,5,5,5,True,True,True,True,True,True,Chinese-like,Chinese-like,English-like
mgsm_0052,15,1,1,15,False,False,True,True,False,False,Mixed/Other,Mixed/Other,English-like
mgsm_0053,40,40,40,160,True,True,False,True,False,False,Mixed/Other,Mixed/Other,English-like
mgsm_0054,40,33,33,33,False,False,False,True,True,True,Chinese-like,Chinese-like,Chinese-like
mgsm_0055,14,14,14,14,True,True,True,True,True,True,English-like,English-like,English-like
mgsm_0056,3,3,3,3,True,True,True,True,True,True,Chinese-like,Chinese-like,English-like
mgsm_0057,83,82,82,83,False,False,True,True,False,False,Mixed/Other,Mixed/Other,English-like
mgsm_0058,57,57,57,57,False,True,False,True,True,True,Mixed/Other,Mixed/Other,Mixed/Other
mgsm_0059,187,187,187,187,True,True,True,True,True,True,English-like,English-like,English-like
mgsm_0060,17,17,17,2,True,True,False,True,False,False,English-like,English-like,English-like
mgsm_0061,1430,1430,1430,1430,True,True,True,True,True,True,English-like,English-like,Chinese-like
mgsm_0062,25000,1904761.9,1904761.9,20,False,False,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0063,1596,140,140,133,False,False,False,True,False,False,English-like,English-like,English-like
mgsm_0064,300,0.46,0.46,480,False,False,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0065,36,12,12,84,False,False,False,True,False,False,English-like,English-like,English-like
mgsm_0066,48,44,44,28,False,False,False,True,False,False,Chinese-like,Chinese-like,Mixed/Other
mgsm_0067,595,1225,1225,595,False,False,True,True,False,False,Mixed/Other,Mixed/Other,English-like
mgsm_0068,36,36,36,36,True,True,True,True,True,True,English-like,English-like,Chinese-like
mgsm_0069,60,60,60,140,True,True,False,True,False,False,English-like,English-like,English-like
mgsm_0070,7425,1,1,9675,False,False,False,True,False,False,Chinese-like,Chinese-like,Chinese-like
mgsm_0071,60,60,60,60,True,True,True,True,True,True,English-like,English-like,English-like
mgsm_0072,221,221,221,221,True,True,True,True,True,True,Chinese-like,Chinese-like,Chinese-like
mgsm_0073,255,1,1,260,False,False,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0074,88,85.55,85.55,1,False,False,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0075,60,8,8,4,False,False,False,True,False,False,Mixed/Other,Mixed/Other,English-like
mgsm_0076,5,5,5,6,True,True,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0077,100,100,100,100,True,True,True,True,True,True,English-like,English-like,Chinese-like
mgsm_0078,6,9,9,3,False,False,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0079,70,70,70,70,True,True,True,True,True,True,English-like,English-like,Chinese-like
mgsm_0080,10,10,10,0,True,True,False,True,False,False,Mixed/Other,Mixed/Other,English-like
mgsm_0081,17,17,17,17,True,True,True,True,True,True,English-like,English-like,Chinese-like
mgsm_0082,623,623,623,623,True,True,True,True,True,True,Chinese-like,Chinese-like,Chinese-like
mgsm_0083,600,600,600,600,True,True,True,True,True,True,Chinese-like,Chinese-like,English-like
mgsm_0084,15,15,15,15,True,True,True,True,True,True,English-like,English-like,English-like
mgsm_0085,44,684,684,4,False,False,False,True,False,False,Mixed/Other,Mixed/Other,English-like
mgsm_0086,22,22,22,22,True,True,True,True,True,True,English-like,English-like,Mixed/Other
mgsm_0087,9360,879.46,879.46,798.6,False,False,False,True,False,False,Chinese-like,Chinese-like,Mixed/Other
mgsm_0088,8000,8000,8000,8000,True,True,True,True,True,True,English-like,English-like,English-like
mgsm_0089,24,18,18,18,False,False,False,True,True,True,Mixed/Other,Mixed/Other,Chinese-like
mgsm_0090,225,300,300,225,False,False,True,True,False,False,English-like,English-like,English-like
mgsm_0091,28,12,12,28,False,False,True,True,False,False,Chinese-like,Chinese-like,Chinese-like
mgsm_0092,4,11,11,4,False,False,True,True,False,False,English-like,English-like,English-like
mgsm_0093,36,2,2,1.1,False,False,False,True,False,False,Mixed/Other,Mixed/Other,Mixed/Other
mgsm_0094,348,30,30,168,False,False,False,True,False,False,Chinese-like,Chinese-like,Chinese-like
mgsm_0095,40,40,40,40,True,True,True,True,True,True,Mixed/Other,Mixed/Other,Chinese-like
mgsm_0096,3,3,3,3,True,True,True,True,True,True,Chinese-like,Chinese-like,English-like
mgsm_0097,12,256,256,22,False,False,False,True,False,False,English-like,English-like,English-like
mgsm_0098,5,20,20,5,False,False,True,True,False,False,English-like,English-like,English-like
mgsm_0099,58,58,58,20,True,True,False,True,False,False,Chinese-like,Chinese-like,Chinese-like
mgsm_0100,175,100,100,175,False,False,True,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0101,6,6,6,6,True,True,True,True,True,True,Chinese-like,Chinese-like,English-like
mgsm_0102,26,7,7,2,False,False,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0103,140,140,140,140,True,True,True,True,True,True,English-like,English-like,Mixed/Other
mgsm_0104,500,134,134,0,False,False,False,True,False,False,English-like,English-like,English-like
mgsm_0105,20,20,20,20,True,True,True,True,True,True,English-like,English-like,English-like
mgsm_0106,72,357,357,363,False,False,False,True,False,False,English-like,English-like,Chinese-like
mgsm_0107,3,2,2,1,False,False,False,True,False,False,English-like,English-like,English-like
mgsm_0108,50,50,50,49.5,True,True,False,True,False,False,English-like,English-like,English-like
mgsm_0109,28,28,28,28,True,True,False,True,True,True,Chinese-like,Chinese-like,Chinese-like
mgsm_0110,45,2,2,45,False,False,True,True,False,False,English-like,English-like,English-like
mgsm_0111,16,25,25,16,False,False,True,True,False,False,Mixed/Other,Mixed/Other,Chinese-like
mgsm_0112,24,24,24,3,True,True,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0113,25,35,35,30,False,False,False,True,False,False,English-like,English-like,English-like
mgsm_0114,6,1800,1800,6,False,False,True,True,False,False,English-like,English-like,English-like
mgsm_0115,90,24,24,1,False,False,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0116,42,7,7,1,False,False,False,True,False,False,Mixed/Other,Mixed/Other,Mixed/Other
mgsm_0117,360,360,360,180,True,True,False,True,False,False,Chinese-like,Chinese-like,Chinese-like
mgsm_0118,4,4,4,4,True,True,True,True,True,True,English-like,English-like,English-like
mgsm_0119,95200,40,40,40,False,False,False,True,True,True,Chinese-like,Chinese-like,English-like
mgsm_0120,240,240,240,240,True,True,True,True,True,True,English-like,English-like,English-like
mgsm_0121,27,27,27,27,True,True,True,True,True,True,Mixed/Other,Mixed/Other,English-like
mgsm_0122,48,25,25,67,False,False,False,True,False,False,English-like,English-like,English-like
mgsm_0123,50,50,50,50,True,True,True,True,True,True,Chinese-like,Chinese-like,English-like
mgsm_0124,10,50,50,40,False,False,False,True,False,False,Mixed/Other,Mixed/Other,Chinese-like
mgsm_0125,10,4,4,10,False,False,True,True,False,False,English-like,English-like,English-like
mgsm_0126,82,82,82,82,True,True,True,True,True,True,Mixed/Other,Mixed/Other,English-like
mgsm_0127,120,120,120,58,True,True,False,True,False,False,English-like,English-like,Chinese-like
mgsm_0128,880,10,10,5,False,False,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0129,10000,500,500,10000,False,False,True,True,False,False,Mixed/Other,Mixed/Other,Mixed/Other
mgsm_0130,30,30,30,30,True,True,True,True,True,True,English-like,English-like,English-like
mgsm_0131,940,940,940,940,True,True,True,True,True,True,English-like,English-like,English-like
mgsm_0132,60,60,60,60,True,True,True,True,True,True,Chinese-like,Chinese-like,Chinese-like
mgsm_0133,13,13,13,37,True,True,False,True,False,False,English-like,English-like,English-like
mgsm_0134,720,3120,3120,3120,False,False,False,True,True,True,Chinese-like,Chinese-like,Chinese-like
mgsm_0135,40,55,55,50,False,False,False,True,False,False,Mixed/Other,Mixed/Other,English-like
mgsm_0136,6,6,6,6,True,True,True,True,True,True,Chinese-like,Chinese-like,Chinese-like
mgsm_0137,29,29,29,29,False,True,False,True,True,True,Mixed/Other,Mixed/Other,Mixed/Other
mgsm_0138,105,20,20,35,False,False,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0139,70,70,70,58,True,True,False,True,False,False,English-like,English-like,English-like
mgsm_0140,20,20,20,20,True,True,True,True,True,True,Mixed/Other,Mixed/Other,Mixed/Other
mgsm_0141,400,400,400,2,True,True,False,True,False,False,English-like,English-like,English-like
mgsm_0142,140,210,210,140,False,False,True,True,False,False,Mixed/Other,Mixed/Other,English-like
mgsm_0143,16,13.2,13.2,1.2,False,False,False,True,False,False,Mixed/Other,Mixed/Other,English-like
mgsm_0144,20,20,20,5,True,True,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0145,4000,4000,4000,4000,True,True,True,True,True,True,Mixed/Other,Mixed/Other,Chinese-like
mgsm_0146,2125,2375,2375,2750,False,False,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0147,75,30,30,75,False,False,True,True,False,False,English-like,English-like,English-like
mgsm_0148,30,22,22,6,False,False,False,True,False,False,English-like,English-like,English-like
mgsm_0149,16,16,16,16,True,True,True,True,True,True,Chinese-like,Chinese-like,Chinese-like
mgsm_0150,4,80,80,264,False,False,False,True,False,False,Chinese-like,Chinese-like,Chinese-like
mgsm_0151,5,4.75,4.75,5,False,False,True,True,False,False,Mixed/Other,Mixed/Other,English-like
mgsm_0152,4,4,4,4,True,True,False,True,True,True,English-like,English-like,English-like
mgsm_0153,48,18,18,5,False,False,False,True,False,False,Mixed/Other,Mixed/Other,English-like
mgsm_0154,272,112,112,2,False,False,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0155,280,170,170,170,False,False,False,True,True,True,Mixed/Other,Mixed/Other,Chinese-like
mgsm_0156,1400,1400,1400,1400,True,True,True,True,True,True,Mixed/Other,Mixed/Other,English-like
mgsm_0157,80,1,1,3,False,False,False,True,False,False,English-like,English-like,English-like
mgsm_0158,34,34,34,34,True,True,True,True,True,True,Mixed/Other,Mixed/Other,English-like
mgsm_0159,15,8,8,3,False,False,False,True,False,False,English-like,English-like,English-like
mgsm_0160,16,16,16,16,True,True,True,True,True,True,English-like,English-like,English-like
mgsm_0161,32,33,33,8,False,False,False,True,False,False,Mixed/Other,Mixed/Other,English-like
mgsm_0162,92,915.8,915.8,43.2,False,False,False,True,False,False,Chinese-like,Chinese-like,Mixed/Other
mgsm_0163,50,35,35,50,False,False,True,True,False,False,English-like,English-like,Chinese-like
mgsm_0164,15,3,3,15,False,False,True,True,False,False,Mixed/Other,Mixed/Other,Chinese-like
mgsm_0165,77,1500,1500,1500,False,False,False,True,True,True,Chinese-like,Chinese-like,English-like
mgsm_0166,5,5,5,5,True,True,True,True,True,True,Chinese-like,Chinese-like,English-like
mgsm_0167,16,52,52,16,False,False,True,True,False,False,Mixed/Other,Mixed/Other,English-like
mgsm_0168,18,18,18,18,True,True,True,True,True,True,Mixed/Other,Mixed/Other,English-like
mgsm_0169,120,120,120,120,True,True,True,True,True,True,Chinese-like,Chinese-like,Chinese-like
mgsm_0170,150,150,150,150,True,True,True,True,True,True,Chinese-like,Chinese-like,Chinese-like
mgsm_0171,1210,1190,1190,1190,False,False,False,True,True,True,English-like,English-like,Chinese-like
mgsm_0172,51,37,37,4,False,False,False,True,False,False,Chinese-like,Chinese-like,Chinese-like
mgsm_0173,18000,180,180,18000,False,False,True,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0174,95,93,93,190,False,False,False,True,False,False,English-like,English-like,English-like
mgsm_0175,15,5,5,25,False,False,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0176,100,100,100,180,True,True,False,True,False,False,English-like,English-like,English-like
mgsm_0177,350,1250,1250,7,False,False,False,True,False,False,Mixed/Other,Mixed/Other,English-like
mgsm_0178,122,26,26,46,False,False,False,True,False,False,English-like,English-like,English-like
mgsm_0179,130,130,130,130,True,True,True,True,True,True,English-like,English-like,English-like
mgsm_0180,20,20,20,20,True,True,True,True,True,True,Mixed/Other,Mixed/Other,Chinese-like
mgsm_0181,160,160,160,160,True,True,True,True,True,True,Chinese-like,Chinese-like,English-like
mgsm_0182,23,12,12,18,False,False,False,True,False,False,English-like,English-like,Chinese-like
mgsm_0183,2,258,258,259,False,False,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0184,25,16.67,16.67,3,False,False,False,True,False,False,Chinese-like,Chinese-like,Chinese-like
mgsm_0185,30,30,30,60,True,True,False,True,False,False,English-like,English-like,English-like
mgsm_0186,5,53,53,6,False,False,False,True,False,False,English-like,English-like,English-like
mgsm_0187,106,87.64,87.64,106,False,False,True,True,False,False,English-like,English-like,English-like
mgsm_0188,50,199,199,50,False,False,True,True,False,False,Mixed/Other,Mixed/Other,English-like
mgsm_0189,34,34,34,6,True,True,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0190,360,360,360,360,True,True,True,True,True,True,Chinese-like,Chinese-like,English-like
mgsm_0191,5,5,5,35,True,True,False,True,False,False,English-like,English-like,English-like
mgsm_0192,91,136,136,56,False,False,False,True,False,False,English-like,English-like,English-like
mgsm_0193,24,0,0,30,False,False,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0194,10,10,10,10,True,True,True,True,True,True,Chinese-like,Chinese-like,English-like
mgsm_0195,12,12,12,12,False,True,False,True,True,True,Mixed/Other,Mixed/Other,English-like
mgsm_0196,120,120,120,120,True,True,True,True,True,True,English-like,English-like,English-like
mgsm_0197,6277,0,0,0,False,False,False,True,True,True,Chinese-like,Chinese-like,Chinese-like
mgsm_0198,320,2,2,320,False,False,True,True,False,False,Mixed/Other,Mixed/Other,English-like
mgsm_0199,7500,15000000,15000000,150,False,False,False,True,False,False,English-like,English-like,English-like
mgsm_0200,55,55,55,55,True,True,True,True,True,True,Chinese-like,Chinese-like,English-like
mgsm_0201,114200,1871500,1871500,5,False,False,False,True,False,False,Chinese-like,Chinese-like,Mixed/Other
mgsm_0202,100,100,100,100,True,True,True,True,True,True,Chinese-like,Chinese-like,Chinese-like
mgsm_0203,31,19,19,59,False,False,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0204,98,98,98,98,True,True,True,True,True,True,Chinese-like,Chinese-like,Chinese-like
mgsm_0205,98,110,110,110,False,False,False,True,True,True,Mixed/Other,Mixed/Other,English-like
mgsm_0206,860,860,860,860,True,True,True,True,True,True,Mixed/Other,Mixed/Other,English-like
mgsm_0207,2600,2600,2600,5200,True,True,False,True,False,False,Mixed/Other,Mixed/Other,English-like
mgsm_0208,76,76,76,76,True,True,True,True,True,True,English-like,English-like,English-like
mgsm_0209,145,15,15,36000,False,False,False,True,False,False,English-like,English-like,English-like
mgsm_0210,10,15,15,12,False,False,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0211,4,4,4,52,True,True,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0212,5,5,5,5,True,True,True,True,True,True,Chinese-like,Chinese-like,Chinese-like
mgsm_0213,250,225,225,250,False,False,True,True,False,False,English-like,English-like,English-like
mgsm_0214,8,4,4,5,False,False,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0215,44,44,44,44,True,True,True,True,True,True,Chinese-like,Chinese-like,English-like
mgsm_0216,220,220,220,1544.96,True,True,False,True,False,False,Mixed/Other,Mixed/Other,Chinese-like
mgsm_0217,15,15,15,11,True,True,False,True,False,False,English-like,English-like,English-like
mgsm_0218,45,12,12,45,False,False,True,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0219,54,54,54,197,True,True,False,True,False,False,English-like,English-like,English-like
mgsm_0220,70,70,70,70,True,True,True,True,True,True,English-like,English-like,English-like
mgsm_0221,90,180,180,540,False,False,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0222,140,140,140,140,True,True,True,True,True,True,English-like,English-like,English-like
mgsm_0223,20000,20000,20000,20000,True,True,True,True,True,True,English-like,English-like,Chinese-like
mgsm_0224,180,180,180,180,True,True,True,True,True,True,Chinese-like,Chinese-like,Chinese-like
mgsm_0225,9,9,9,6,True,True,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0226,33,0,0,45,False,False,False,True,False,False,Mixed/Other,Mixed/Other,Chinese-like
mgsm_0227,9,9,9,5,False,True,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0228,1,1,1,1,True,True,True,True,True,True,Mixed/Other,Mixed/Other,Chinese-like
mgsm_0229,21,84,84,21,False,False,True,True,False,False,English-like,English-like,English-like
mgsm_0230,276000,276000,276000,4,True,True,False,True,False,False,Mixed/Other,Mixed/Other,English-like
mgsm_0231,50,50,50,50,True,True,True,True,True,True,English-like,English-like,English-like
mgsm_0232,75,75,75,100,True,True,False,True,False,False,English-like,English-like,English-like
mgsm_0233,12,24,24,12,False,False,True,True,False,False,Mixed/Other,Mixed/Other,English-like
mgsm_0234,21,14,14,3,False,False,False,True,False,False,English-like,English-like,English-like
mgsm_0235,10,10,10,10,True,True,True,True,True,True,Chinese-like,Chinese-like,Chinese-like
mgsm_0236,31,5,5,5,False,False,False,True,True,True,English-like,English-like,English-like
mgsm_0237,90,60,60,60,False,False,False,True,True,True,English-like,English-like,English-like
mgsm_0238,68,68,68,3,True,True,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0239,280,280,280,5,True,True,False,True,False,False,Mixed/Other,Mixed/Other,English-like
mgsm_0240,21,21,21,27,True,True,False,True,False,False,English-like,English-like,English-like
mgsm_0241,6,6,6,6,True,True,True,True,True,True,English-like,English-like,Chinese-like
mgsm_0242,3,0.5,0.5,3,False,False,True,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0243,250,250,250,250,True,True,True,True,True,True,English-like,English-like,Chinese-like
mgsm_0244,20,18,18,1,False,False,False,True,False,False,English-like,English-like,English-like
mgsm_0245,7,18,18,14,False,False,False,True,False,False,English-like,English-like,English-like
mgsm_0246,27000,5400,5400,27000,False,False,True,True,False,False,Mixed/Other,Mixed/Other,English-like
mgsm_0247,32,32,32,32,True,True,True,True,True,True,English-like,English-like,English-like
mgsm_0248,300,300,300,300,True,True,True,True,True,True,Chinese-like,Chinese-like,Chinese-like
mgsm_0249,5600,3000,3000,4,False,False,False,True,False,False,English-like,English-like,English-like
