sample_id,layer,condition,random_seed,clean_norm,random_norm,relative_norm_error,max_token_relative_norm_error,mean_token_relative_norm_error,norm_match_policy,target_shape
mgsm_0001,20,random_norm_matched_patch_L20,2000014,10846.0859375,10846.4853515625,3.682564058606972e-05,1.7881397695873602e-07,3.6649947077194156e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 80, 1536]"
mgsm_0001,22,random_norm_matched_patch_L22,2200014,10851.6552734375,10852.0517578125,3.653676466948852e-05,2.3122656500618177e-07,5.007449388472196e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 80, 1536]"
mgsm_0003,20,random_norm_matched_patch_L20,2000016,10844.775390625,10845.171875,3.655994344915151e-05,2.1199002731009386e-07,5.425337690212473e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 83, 1536]"
mgsm_0003,22,random_norm_matched_patch_L22,2200016,10849.83984375,10850.1982421875,3.3032601647705775e-05,1.7652651251864881e-07,4.721491464465544e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 83, 1536]"
mgsm_0014,20,random_norm_matched_patch_L20,2000027,10849.6865234375,10850.1630859375,4.392408010780121e-05,2.1839704800186155e-07,5.1963237268637386e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 103, 1536]"
mgsm_0014,22,random_norm_matched_patch_L22,2200027,10859.693359375,10860.17578125,4.442315809806295e-05,2.2981350866757566e-07,4.404367714982982e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 103, 1536]"
mgsm_0019,20,random_norm_matched_patch_L20,2000032,10858.1884765625,10858.779296875,5.441242006208412e-05,2.1943310457572807e-07,4.426418698244561e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 129, 1536]"
mgsm_0019,22,random_norm_matched_patch_L22,2200032,10873.095703125,10873.751953125,6.035539628437092e-05,1.8652143296549184e-07,5.0798888651115703e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 129, 1536]"
mgsm_0028,20,random_norm_matched_patch_L20,2000041,10850.3935546875,10850.8583984375,4.284118798614286e-05,2.0187827942663716e-07,5.0844970900243425e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 103, 1536]"
mgsm_0028,22,random_norm_matched_patch_L22,2200041,10860.89453125,10861.400390625,4.65762164934475e-05,1.9879942669831507e-07,5.24410523894403e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 103, 1536]"
mgsm_0035,20,random_norm_matched_patch_L20,2000048,10847.8798828125,10848.310546875,3.970029786026197e-05,2.1199002731009386e-07,5.16693745566954e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 95, 1536]"
mgsm_0035,22,random_norm_matched_patch_L22,2200048,10855.52734375,10855.9931640625,4.291088749071164e-05,1.7108868632931262e-07,4.957663790605693e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 95, 1536]"
mgsm_0039,20,random_norm_matched_patch_L20,2000052,10850.451171875,10850.9765625,4.8421085600739167e-05,2.023844984933021e-07,5.1418346913578716e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 106, 1536]"
mgsm_0039,22,random_norm_matched_patch_L22,2200052,10860.99609375,10861.48046875,4.459765898256195e-05,1.9132296813495486e-07,4.669846020988189e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 106, 1536]"
mgsm_0044,20,random_norm_matched_patch_L20,2000057,10857.4921875,10858.126953125,5.846337386554072e-05,2.1649312031968293e-07,4.7972200434287515e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 130, 1536]"
mgsm_0044,22,random_norm_matched_patch_L22,2200057,10871.72265625,10872.369140625,5.946475967434151e-05,2.3224363587814878e-07,4.8676078279186186e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 130, 1536]"
mgsm_0045,20,random_norm_matched_patch_L20,2000058,10861.2490234375,10861.9296875,6.266904119693733e-05,2.2205003347153252e-07,4.161760358556421e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 139, 1536]"
mgsm_0045,22,random_norm_matched_patch_L22,2200058,10879.6943359375,10880.2919921875,5.493318392464747e-05,2.432376788874535e-07,4.723248991922446e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 139, 1536]"
mgsm_0053,20,random_norm_matched_patch_L20,2000066,10861.478515625,10862.2119140625,6.752289169885617e-05,2.1913031389431126e-07,5.6240981649580135e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 147, 1536]"
mgsm_0053,22,random_norm_matched_patch_L22,2200066,10880.611328125,10881.345703125,6.749390984141983e-05,1.8163309789542836e-07,5.035744266024267e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 147, 1536]"
mgsm_0060,20,random_norm_matched_patch_L20,2000073,10848.7666015625,10849.244140625,4.401782064619421e-05,1.9852011234888778e-07,4.6229434502720324e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 97, 1536]"
mgsm_0060,22,random_norm_matched_patch_L22,2200073,10856.955078125,10857.42578125,4.33549850407312e-05,2.268598535692945e-07,5.277980719142761e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 97, 1536]"
mgsm_0069,20,random_norm_matched_patch_L20,2000082,10849.8125,10850.271484375,4.230343842347506e-05,2.0408798206972278e-07,4.902370065451578e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 102, 1536]"
mgsm_0069,22,random_norm_matched_patch_L22,2200082,10858.7705078125,10859.2255859375,4.190880769352179e-05,1.8160137926770403e-07,5.369138378341631e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 102, 1536]"
mgsm_0076,20,random_norm_matched_patch_L20,2000089,10859.3662109375,10859.98828125,5.7284219024997414e-05,2.0430417180250515e-07,4.663476715904835e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 136, 1536]"
mgsm_0076,22,random_norm_matched_patch_L22,2200089,10875.8720703125,10876.4658203125,5.459332329043657e-05,1.8684713154470955e-07,4.965088606923018e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 136, 1536]"
mgsm_0080,20,random_norm_matched_patch_L20,2000093,10845.765625,10846.15234375,3.565619647068485e-05,1.8434533899380767e-07,4.033777045719944e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 79, 1536]"
mgsm_0080,22,random_norm_matched_patch_L22,2200093,10850.328125,10850.6943359375,3.375113943846744e-05,1.7893430026560964e-07,4.7407265668653054e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 79, 1536]"
mgsm_0099,20,random_norm_matched_patch_L20,2000112,10859.7734375,10860.3916015625,5.6922371912972974e-05,2.153675069394012e-07,4.1712254983394814e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 135, 1536]"
mgsm_0099,22,random_norm_matched_patch_L22,2200112,10877.0185546875,10877.6650390625,5.943580694926687e-05,2.726023069499206e-07,4.9469168317273216e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 135, 1536]"
mgsm_0108,20,random_norm_matched_patch_L20,2000121,10855.5615234375,10856.1328125,5.262639443077807e-05,2.071298297323665e-07,4.231450390079772e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 126, 1536]"
mgsm_0108,22,random_norm_matched_patch_L22,2200121,10871.3154296875,10871.9638671875,5.964664572506472e-05,1.5838890021768748e-07,4.5769876777512764e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 126, 1536]"
mgsm_0109,20,random_norm_matched_patch_L20,2000122,10853.1904296875,10853.708984375,4.777900939446899e-05,1.9503221437844331e-07,4.046621882025647e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 115, 1536]"
mgsm_0109,22,random_norm_matched_patch_L22,2200122,10864.998046875,10865.5703125,5.267056860305608e-05,2.179114630962431e-07,4.574885181796162e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 115, 1536]"
mgsm_0112,20,random_norm_matched_patch_L20,2000125,10851.61328125,10852.1376953125,4.8325907762130705e-05,2.0833090275118593e-07,5.0842093202163596e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 106, 1536]"
mgsm_0112,22,random_norm_matched_patch_L22,2200125,10863.0498046875,10863.58203125,4.8994211760894226e-05,2.2772805152726505e-07,5.0373149207416645e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 106, 1536]"
mgsm_0117,20,random_norm_matched_patch_L20,2000130,10845.91796875,10846.3095703125,3.610589381445712e-05,2.0226144670232316e-07,3.946927762399355e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 80, 1536]"
mgsm_0117,22,random_norm_matched_patch_L22,2200130,10850.0390625,10850.41015625,3.420206580477461e-05,1.865001735268379e-07,5.882177944727118e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 80, 1536]"
mgsm_0127,20,random_norm_matched_patch_L20,2000140,10846.7216796875,10847.1474609375,3.925437220329479e-05,2.2319530046388536e-07,4.8886462877817394e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 91, 1536]"
mgsm_0127,22,random_norm_matched_patch_L22,2200140,10853.9345703125,10854.3994140625,4.2827211366413875e-05,1.8766225196031883e-07,5.3198824900846375e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 91, 1536]"
mgsm_0133,20,random_norm_matched_patch_L20,2000146,10850.046875,10850.55859375,4.716281467677991e-05,2.1860006427232292e-07,6.280998832153273e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 103, 1536]"
mgsm_0133,22,random_norm_matched_patch_L22,2200146,10859.38671875,10859.869140625,4.442441249164119e-05,1.680408274751244e-07,5.445492234912308e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 103, 1536]"
mgsm_0139,20,random_norm_matched_patch_L20,2000152,10848.7763671875,10849.216796875,4.059717636286566e-05,2.0763852148775186e-07,5.739044794950132e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 97, 1536]"
mgsm_0139,22,random_norm_matched_patch_L22,2200152,10857.2099609375,10857.673828125,4.2724345312370284e-05,2.075763063658087e-07,4.9142069968866053e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 97, 1536]"
mgsm_0141,20,random_norm_matched_patch_L20,2000154,10845.005859375,10845.4111328125,3.7369591381977914e-05,1.8035991899978399e-07,4.821757215722755e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 83, 1536]"
mgsm_0141,22,random_norm_matched_patch_L22,2200154,10850.35546875,10850.751953125,3.6541141545261875e-05,1.814169934277743e-07,5.2818943885313274e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 83, 1536]"
mgsm_0144,20,random_norm_matched_patch_L20,2000157,10870.7177734375,10871.5927734375,8.049146507492399e-05,2.120002591254888e-07,4.277310949873936e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 181, 1536]"
mgsm_0144,22,random_norm_matched_patch_L22,2200157,10897.6513671875,10898.4814453125,7.617036891998034e-05,1.6903825894587499e-07,4.2733518057502806e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 181, 1536]"
mgsm_0152,20,random_norm_matched_patch_L20,2000165,10851.138671875,10851.6748046875,4.94079772374119e-05,2.3481189259655366e-07,5.489252785650933e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 109, 1536]"
mgsm_0152,22,random_norm_matched_patch_L22,2200165,10860.513671875,10861.017578125,4.63980125824936e-05,1.7636611460147833e-07,5.142254622114706e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 109, 1536]"
mgsm_0176,20,random_norm_matched_patch_L20,2000189,10845.662109375,10846.048828125,3.565653678863183e-05,2.1354804857764975e-07,4.308330403546279e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 85, 1536]"
mgsm_0176,22,random_norm_matched_patch_L22,2200189,10852.0478515625,10852.443359375,3.644545415850281e-05,2.1825478313530766e-07,3.799706860263541e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 85, 1536]"
mgsm_0185,20,random_norm_matched_patch_L20,2000198,10847.86328125,10848.310546875,4.1230757929358926e-05,2.1836919472661975e-07,4.283972643293055e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 94, 1536]"
mgsm_0185,22,random_norm_matched_patch_L22,2200198,10855.986328125,10856.435546875,4.137981906224335e-05,1.806051272978948e-07,4.6504233353061863e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 94, 1536]"
mgsm_0189,20,random_norm_matched_patch_L20,2000202,10856.021484375,10856.6513671875,5.802151491746642e-05,1.273163121595644e-07,3.766792033843558e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 128, 1536]"
mgsm_0189,22,random_norm_matched_patch_L22,2200202,10870.10546875,10870.75,5.929392790648952e-05,1.7641752947383793e-07,5.007912307064544e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 128, 1536]"
mgsm_0191,20,random_norm_matched_patch_L20,2000204,10844.98828125,10845.3935546875,3.7369651952568816e-05,2.1561733376529446e-07,4.726062741156056e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 83, 1536]"
mgsm_0191,22,random_norm_matched_patch_L22,2200204,10850.158203125,10850.5341796875,3.465171248763114e-05,2.1931856508672354e-07,4.546312837305777e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 83, 1536]"
mgsm_0207,20,random_norm_matched_patch_L20,2000220,10851.111328125,10851.642578125,4.8958119029066905e-05,2.1839704800186155e-07,4.9877876051596104e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 109, 1536]"
mgsm_0207,22,random_norm_matched_patch_L22,2200220,10861.0341796875,10861.5302734375,4.5676474430750194e-05,2.2282576139787125e-07,4.4923051945033876e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 109, 1536]"
mgsm_0211,20,random_norm_matched_patch_L20,2000224,10848.8662109375,10849.3564453125,4.518761366102575e-05,1.8065004780964955e-07,4.4980630775626196e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 100, 1536]"
mgsm_0211,22,random_norm_matched_patch_L22,2200224,10857.75,10858.2490234375,4.596011489489075e-05,2.06249453071905e-07,4.297999467439695e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 100, 1536]"
mgsm_0216,20,random_norm_matched_patch_L20,2000229,10851.318359375,10851.8359375,4.769725740769906e-05,2.1629197988204396e-07,4.04942177567591e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 106, 1536]"
mgsm_0216,22,random_norm_matched_patch_L22,2200229,10860.7705078125,10861.3115234375,4.981374246061365e-05,2.373481322592852e-07,5.661602742179639e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 106, 1536]"
mgsm_0217,20,random_norm_matched_patch_L20,2000230,10846.30078125,10846.6865234375,3.556440073714648e-05,2.0496108277257008e-07,4.683220922174769e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 80, 1536]"
mgsm_0217,22,random_norm_matched_patch_L22,2200230,10850.853515625,10851.234375,3.5099485441543426e-05,1.8057451711683825e-07,5.784594492297401e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 80, 1536]"
mgsm_0219,20,random_norm_matched_patch_L20,2000232,10851.2255859375,10851.73046875,4.6527722467985194e-05,2.2392482890154497e-07,5.7418962029487375e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 107, 1536]"
mgsm_0219,22,random_norm_matched_patch_L22,2200232,10861.4658203125,10861.9892578125,4.8192160124565946e-05,1.6178042017145344e-07,5.484336895733577e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 107, 1536]"
mgsm_0225,20,random_norm_matched_patch_L20,2000238,10853.74609375,10854.2587890625,4.723671514623227e-05,2.1839704800186155e-07,5.726521834503728e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 114, 1536]"
mgsm_0225,22,random_norm_matched_patch_L22,2200238,10867.5244140625,10868.08984375,5.202929995430587e-05,2.1075408085380332e-07,4.9596618367786505e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 114, 1536]"
mgsm_0230,20,random_norm_matched_patch_L20,2000243,10854.220703125,10854.7177734375,4.579511750271397e-05,1.6313249773247662e-07,5.1488395769183626e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 120, 1536]"
mgsm_0230,22,random_norm_matched_patch_L22,2200243,10866.2978515625,10866.9013671875,5.5540132733727574e-05,1.680408274751244e-07,5.605783925943797e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 120, 1536]"
mgsm_0232,20,random_norm_matched_patch_L20,2000245,10846.333984375,10846.732421875,3.673476223155037e-05,2.2205446725820366e-07,4.642047812808414e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 81, 1536]"
mgsm_0232,22,random_norm_matched_patch_L22,2200245,10851.9365234375,10852.3388671875,3.707575593821775e-05,1.765231303352266e-07,4.4840863466788505e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 81, 1536]"
mgsm_0238,20,random_norm_matched_patch_L20,2000251,10846.287109375,10846.705078125,3.853565241129642e-05,1.9494262915031868e-07,3.758694333555468e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 82, 1536]"
mgsm_0238,22,random_norm_matched_patch_L22,2200251,10850.8173828125,10851.21484375,3.66295849868021e-05,1.842780648075859e-07,5.6725983910155264e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 82, 1536]"
mgsm_0239,20,random_norm_matched_patch_L20,2000252,10858.6923828125,10859.3310546875,5.881664683778234e-05,2.2821272693818173e-07,4.9911346167164083e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 134, 1536]"
mgsm_0239,22,random_norm_matched_patch_L22,2200252,10875.1669921875,10875.83203125,6.115207821431621e-05,1.5962571353611565e-07,4.3304353880557755e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 134, 1536]"
mgsm_0240,20,random_norm_matched_patch_L20,2000253,10846.798828125,10847.232421875,3.997435159170845e-05,1.9888514657395717e-07,4.5271097093291246e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 93, 1536]"
mgsm_0240,22,random_norm_matched_patch_L22,2200253,10853.2548828125,10853.7158203125,4.246997835920658e-05,1.764990997799032e-07,4.288876453983903e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 93, 1536]"
